2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
331,Studio 6,Extended-stay lodging,#331 Franchise 500,"$3,656,600 ","$4,813,000 ",+10.3% +9 UNITS,+18.4% +16 UNITS,1998,1999,"4001 International Pkwy. Carrollton, TX 75007",,,,,Training Onsite: 1 day
332,PrideStaff,Staffing,#332 Franchise 500,"$141,253 ","$217,740 ",+18.3% +13 UNITS,+33.8% +24 UNITS,1978,1995,"7535 N. Palm Ave., Suite 101 Fresno, CA 93711",25% off franchise fee,310,338,throughout the US,Training Onsite: 5 days
333,GameTruck Licensing LLC,Mobile video-game theaters,#333 Franchise 500,"$147,599 ","$312,599 ",,,2006,2008,"1501 W. Fountainhead Pkwy., #520 Tempe, AZ 85282",10% off franchise fee,218,385,worldwide,Training at headquarters: 4 days
334,Precision Door Service,Garage-door repairs and installation,#334 Franchise 500,"$67,639 ","$512,214 ",+100.0% +79 UNITS,+100.0% +79 UNITS,1997,1999,"2395 S. Washington Ave., #5 Titusville, FL 32780",20% off franchise fee,,,throughout the US,Training Onsite: 10+ days
335,Erbert & Gerbert's Sandwich Shops,"Subs, soups",#335 Franchise 500,"$197,500 ","$391,700 ",+11.1% +10 UNITS,+22.2% +20 UNITS,1987,1992,"5828 Arndt Rd. Eau Claire, WI 54701","$5,000 off franchise fee",,,in the following regions/states;See List,Training Onsite: 10 days
336,Black Bear Diners Inc.,Family restaurants,#336 Franchise 500,"$527,800 ","$1,472,200 ",+4.3% +3 UNITS,+12.9% +9 UNITS,1995,2002,"1880 Shasta St. Redding, CA 96001",,,,throughout the US,Training Onsite: 6 weeks
337,Toppers Pizza,"Pizza, breadsticks, wings",#337 Franchise 500,"$291,666 ","$527,152 ",+6.1% +4 UNITS,+25.8% +17 UNITS,1991,2000,"333 W. Center St. Whitewater, WI 53190","$10,000 off franchise fee",335,388,in the following regions/states;See List,Training Onsite: 14 days
338,AdviCoach,Business coaching,#338 Franchise 500,"$66,000 ","$74,250 ",+20.3% +15 UNITS,+25.7% +19 UNITS,2002,2003,"900 Main St. S., Bldg. 2 Southbury, CT 06488",15% off franchise fee,215,434,,Training at headquarters: 5 days
339,WoodSpring Suites,Limited-service extended-stay lodging,#339 Franchise 500,"$5,035,000 ","$7,031,000 ",+5.6% +11 UNITS,+6.1% +12 UNITS,2003,2004,"8621 E. 21st St. N., #250 Wichita, KS 67206",,210,493,throughout the US,Training Onsite: Upon request
340,Lapels,Dry cleaning and laundry services,#340 Franchise 500,"$81,502 ","$529,911 ",+13.0% +9 UNITS,+29.0% +20 UNITS,2000,2001,"962 Washington St. Hanover, MA 02339",20% off franchise fee,,,worldwide,Training Onsite: 9 days
