2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
394,GarageExperts,"Garage cabinets, floor coatings, organization products",#394 Franchise 500,"$48,053 ","$85,982 ",+11.8% +4 UNITS,+32.4% +11 UNITS,2008,2008,"245 W. Carl Karcher Wy. Anaheim, CA 92801",10% off franchise fee,,,worldwide,Training at headquarters: 5 days
395,Berlitz Language Centers,"Language, intercultural, and business Training",#395 Franchise 500,"$164,000 ","$307,000 ",+0.5% +2 UNITS,+0.5% +2 UNITS,1878,1889,"7 Roszel Rd. Princeton, NJ 08540",,,,worldwide,Training Onsite: 10 days
396,Fresh Healthy Cafe,"Smoothies, juices, wraps, sandwiches, salads",#396 Franchise 500,"$176,000 ","$343,500 ",+10.8% +4 UNITS,+13.5% +5 UNITS,2001,2009,"8697 10th Ave., P.O. Box 51071 Burnaby, BC V3N 5B9",,,,worldwide,Training Onsite: 14 days
397,Expense Reduction Analysts,Business financial consulting,#397 Franchise 500,"$66,000 ","$85,900 ",+1.2% +8 UNITS,+1.6% +10 UNITS,1984,1993,"16415 Addison Rd., #410 Addison, TX 75001",10% off franchise fee,98,405,worldwide,Training Onsite: as needed
398,Decorating Den Interiors,Interior decorating services and products,#398 Franchise 500,"$55,708 ","$81,700 ",,,1969,1970,"8659 Commerce Dr. Easton, MD 21601",10% off franchise fee,98,398,,Training Onsite: 45 days
399,Tropical Smoothie Cafe,"Smoothies, salads, wraps, sandwiches, flatbreads",#399 Franchise 500,"$198,050 ","$478,550 ",+16.7% +77 UNITS,+25.8% +119 UNITS,1997,1997,"1117 Perimeter Center W., #W200 Atlanta, GA 30338",50% off franchise fee,127,408,throughout the US,Training Onsite: 5 days
400,CKO Kickboxing,Kickboxing fitness classes,#400 Franchise 500,"$108,347 ","$363,947 ",+18.2% +10 UNITS,+27.3% +15 UNITS,1997,2007,"900 Madison St., #2 Hoboken, NJ 07030",,,,worldwide,Training Onsite: 3 days
401,SeekingSitters Franchise System Inc.,Babysitting-referral services,#401 Franchise 500,"$59,200 ","$91,000 ",,,2004,2006,"3701-A S. Harvard Ave., #169 Tulsa, OK 74135",,,,throughout the US,Training Onsite: 3 days
402,Green Leaf's/Banana's,"Salads, sandwiches, smoothies, frozen yogurt",#402 Franchise 500,"$219,500 ","$574,200 ",+25.5% +12 UNITS,+42.6% +20 UNITS,1998,1998,"25 Washington St. Morristown, NJ 07960",20% off franchise fee,,,,Ongoing Support
403,Goldfish Swim School Franchising LLC,Infant and child swimming lessons,#403 Franchise 500,"$1,364,033 ","$2,244,200 ",+39.1% +9 UNITS,+56.5% +13 UNITS,2006,2008,"390 Park St. Birmingham, MI 48009",,,,in the following regions/states;See List,Training Onsite: 3 days
404,Squeegee Squad,"Residential and high-rise window cleaning, building maintenance",#404 Franchise 500,"$38,000 ","$135,110 ",+18.4% +9 UNITS,+24.5% +12 UNITS,1999,2005,"7750 Ranchview Ln. N. Maple Grove, MN 55311",,,,worldwide,Training at headquarters: 5 days
405,Interim HealthCare,"Medical home care, medical staffing",#405 Franchise 500,"$123,500 ","$196,500 ",+4.7% +26 UNITS,+40.8% +224 UNITS,1966,1966,"1601 Sawgrass Corporate Pkwy. Sunrise, FL 33323",10% off franchise fee,,,worldwide,Training Onsite: 3 days
406,National Property Inspections Inc.,Home and commercial property inspections,#406 Franchise 500,"$43,200 ","$47,000 ",+4.1% +9 UNITS,+1.8% +4 UNITS,1987,1987,"9375 Burt, #201 Omaha, NB 68114",15% off franchise fee,163,406,,Training Onsite: 5 days
407,L&L Hawaiian Barbecue,Asian-American food,#407 Franchise 500,"$130,200 ","$520,500 ",,+1.1% +2 UNITS,1976,1991,"931 University Ave., #202 Honolulu, HI 96826","$10,000 off franchise fee",157,407,,Training Onsite: 20-60 days
408,Pancheros Mexican Grill,Mexican food,#408 Franchise 500,"$394,325 ","$931,000 ",+2.9% +2 UNITS,+7.4% +5 UNITS,1992,1995,"2475 Coral Ct., #B Coralville, IA 52241",,,,throughout the US,Training Onsite: prior to opening
409,HandyPro Int'l. LLC,Handyman and home-modification services,#409 Franchise 500,"$70,640 ","$128,643 ",+2.6% +1 UNITS,+20.5% +8 UNITS,1996,2000,"22500 Orchard Lake Rd. Farmington, MI 48336",25% off franchise fee,,,in the following regions/states;See List,Training at headquarters: 5 days
410,Labor Finders,Industrial staffing,#410 Franchise 500,"$122,985 ","$210,930 ",,+1.6% +3 UNITS,1975,1975,"11426 N. Jog Rd. Palm Beach Gardens, FL 33418",,104,433,throughout the US,Training Onsite: 3-4 days
411,Great Harvest Franchising Inc.,Bread bakery,#411 Franchise 500,"$113,470 ","$642,004 ",,,1976,1978,"28 S. Montana St. Dillon, MT 59725",15% off franchise fee,155,411,worldwide,Training Onsite: 14 days
412,The Spice & Tea Exchange,"Spices, teas, related products",#412 Franchise 500,"$190,450 ","$291,650 ",+9.8% +4 UNITS,+14.6% +6 UNITS,2008,2008,"2708 Alt. 19 N., #601 Palm Harbor, FL 34683",25% off franchise fee,,,throughout the U.S.,Training Onsite: 11 days
413,Martinizing Dry Cleaning,Dry cleaning and laundry services,#413 Franchise 500,"$516,183 ","$705,600 ",,+1.9% +8 UNITS,1949,1949,"2060 Coolidge Hwy. Berkley, MI 48072","$5,000 off franchise fee",200,413,in the following regions/states;in the following regions/states;See List,Training Onsite: 10 days
414,Jantize America,Commercial cleaning,#414 Franchise 500,"$29,600 ","$207,000 ",+13.5% +34 UNITS,+24.2% +61 UNITS,1988,1988,"8801 J.M. Keynes Dr., #450 Charlotte, NC 28262",10% off franchise fee,238,426,throughout the US,Training at headquarters: 3 days
415,Sharkey's Cuts For Kids,Children's hair salons,#415 Franchise 500,"$102,420 ","$137,995 ",+2.5% +1 UNITS,+5.0% +2 UNITS,2001,2004,"37 Highland Rd. Westport, CT 06880",,,,worldwide,Training Onsite: 1 day
416,Safe Ship,"Packing, shipping, freight, office supplies, notary services",#416 Franchise 500,"$54,900 ","$153,900 ",+5.9% +2 UNITS,+14.7% +5 UNITS,1988,2008,"124 N. Nova Rd. Ormond Beach, FL 32174",25% off franchise fee,344,416,,Training Onsite: 7 days
417,Zerorez Franchising Systems Inc.,Carpet and surface cleaning,#417 Franchise 500,"$108,200 ","$184,000 ",+12.5% +5 UNITS,+30.0% +12 UNITS,2001,2003,"12577 S. 265 West, #3A Draper, UT 84020","$10,000 off franchise fee",,,throughout the US,Training Onsite: 5 days
418,DKI,Property restoration,#418 Franchise 500,"$22,145 ","$94,750 ",,+10.8% +36 UNITS,1974,1994,"25 Northwest Point Blvd. Elk Grove Village, IL 60007",,115,418,worldwide,Training Onsite: 1 day
419,fab'rik,Women's clothing,#419 Franchise 500,"$113,700 ","$190,800 ",+15.2% +5 UNITS,+36.4% +12 UNITS,2002,2006,"3104 E. Shadowlawn Ave. N.E. Atlanta, GA 30305",,,,throughout the US,Training Onsite: 5 days
420,Fuzziwig's Candy Factory Inc.,Self-serve bulk candy,#420 Franchise 500,"$184,000 ","$363,350 ",,,1996,2002,"656 Main Ave. Durango, CO 81301",,,,worldwide,Training Onsite: 7-10 days
421,Window Gang,"Window, gutter, and dryer-vent cleaning, pressure washing, chimney sweeping",#421 Franchise 500,"$34,400 ","$81,200 ",+8.0% +15 UNITS,+10.1% +19 UNITS,1986,1996,"1509 Ann St. Beaufort, NC 28516",10% off franchise fee,150,460,throughout the US,Training Onsite: 6 days
422,Tippi Toes Inc.,Children's dance classes,#422 Franchise 500,"$52,000 ","$62,500 ",+16.7% +4 UNITS,+25.0% +6 UNITS,2002,2009,"1600 Lake Air Dr., #122 Waco, TX 76710",,,,worldwide,Training Onsite: 3-4 days
423,Pretzelmaker,Pretzels,#423 Franchise 500,"$205,200 ","$332,000 ",,,1991,1992,"5555 Glenridge Connector, #850 Atlanta, GA 30342",25% off first-store franchise fee,99,423,,Training Onsite: 3 days
424,Destination Athlete LLC,"Youth sports apparel, equipment, and services",#424 Franchise 500,"$67,460 ","$122,835 ",,+11.1% +2 UNITS,2008,2008,"56 Payne Rd., #16 Lebanon, NJ 08833",15% off franchise fee,,,throughout the US,Training at headquarters: 5 days
425,The Exercise Coach,"Personal training, nutritional guidance",#425 Franchise 500,"$106,700 ","$246,010 ",+38.2% +13 UNITS,+55.9% +19 UNITS,2000,2010,"500 S. Rand Rd. Lake Zurich, IL 60047",,,,throughout the U.S.,
426,V's Barbershop Franchise LLC,Upscale men's barbershops,#426 Franchise 500,"$195,200 ","$363,250 ",+30.0% +9 UNITS,+36.7% +11 UNITS,1999,2005,"4801 E. Indian School Rd., #3 Phoenix, AZ 85018","$5,000 off franchise fee",,,throughout the US,Training Onsite: 2-4 days
427,MRINetwork,Executive and professional staffing,#427 Franchise 500,"$66,635 ","$99,785 ",+5.0% +30 UNITS,,1957,1965,"1735 Market St., #200, 2nd Fl. Philadelphia, PA 19103",20% off franchise fee,,,worldwide,"Training Onsite: 2 weeks, ongoing"
428,D-BAT Academies Inc.,"Indoor baseball and softball training, batting cages, merchandise",#428 Franchise 500,"$315,150 ","$611,600 ",+17.4% +4 UNITS,+34.8% +8 UNITS,1998,2007,"2101 Midway Rd., #300 Carrollton, TX 75006",,,,worldwide,Training Onsite: 3 days
429,Dryclean USA,Dry cleaning,#429 Franchise 500,"$261,500 ","$606,500 ",+7.6% +32 UNITS,+7.6% +32 UNITS,1976,1978,"290 N.E. 68th St. Miami, FL 33138",25% off franchise fee,,,worldwide,Training Onsite: 7 days
430,Taste of Mediterranean,Greek and Middle Eastern food,#430 Franchise 500,"$98,800 ","$287,400 ",+16.7% +3 UNITS,+22.2% +4 UNITS,2004,2007,"2 Toronto St., #324 Toronto, ON M5C 2B5",50% off franchise fee,,,worldwide,Training at headquarters: 2 weeks
431,Above the Standard Procurement Group Inc.,Procurement and financial services,#431 Franchise 500,"$69,900 ","$99,000 ",+6.7% +1 UNITS,+33.3% +5 UNITS,1981,2010,"P.O. Box 477 Cambridge, MD 21613",5% off franchise fee,,,worldwide,Training at headquarters: 5 days
432,Zoom Room,"Indoor dog training and socialization, pet products",#432 Franchise 500,"$132,760 ","$308,685 ",,,2007,2009,"11836 Teale St. Culver City, CA 90230",10% off franchise fee,397,465,throughout the US,Training Onsite: 3 days
433,Sunbelt Business Brokers,Business brokerage,#433 Franchise 500,"$52,500 ","$110,800 ",,,1979,1993,"7100 E. Pleasant Valley Rd., #300 Independence, OH 44131",,367,472,worldwide,Training at headquarters: 2 days
434,Omega Learning Center,Tutoring/private schools,#434 Franchise 500,"$151,165 ","$193,898 ",+100.0% +12 UNITS,,2005,2007,"5150 Stilesboro Rd., #410 Kennesaw, GA 30152",10% off franchise fee,,,throughout the US,Training Onsite: 5 days
435,In Home Pet Services Inc.,"Pet-sitting, dog-walking",#435 Franchise 500,"$9,200 ","$35,100 ",+7.7% +1 UNITS,+30.8% +4 UNITS,2001,2005,"8825 247th St. Bellerose, NY 11426",$500 off franchise fee,,,in the following regions/states;See List,Training Onsite: 1 day
436,FirstLight HomeCare LLC,Nonmedical home care,#436 Franchise 500,"$95,156 ","$140,734 ",+21.1% +23 UNITS,+43.1% +47 UNITS,2010,2010,"7870 E. Kemper Rd., #440 Cincinnati, OH 34529","$10,000 off franchise fee",301,436,,Training Onsite: 4 days
437,The Boardroom Salon for Men,Men's grooming services and products,#437 Franchise 500,"$344,650 ","$471,400 ",+20.0% +4 UNITS,+45.0% +9 UNITS,2004,2007,"2271 E. Continental Blvd., #100 Southlake, TX 76092",10% off franchise fee,,,throughout the U.S.,Training Onsite: 2 days
438,Fastest Labs,"Drug, alcohol, and DNA testing, background screening",#438 Franchise 500,"$66,505 ","$82,875 ",+33.3% +5 UNITS,+40.0% +6 UNITS,2000,2010,"12703 Mountain Air, #105 San Antonio, TX 78249",,,,throughout the US,Training Onsite: 5 days
439,Parisi Speed School,Youth sports performance training,#439 Franchise 500,"$86,150 ","$187,900 ",+8.9% +8 UNITS,+15.6% +14 UNITS,1992,2005,"291 Franklin Ave. Wyckoff, NJ 07481",20% off franchise fee,,,worldwide,Training Onsite: 1-3 days as needed
440,Senior Helpers,"Personal, companion, and Alzheimer's home care",#440 Franchise 500,"$81,300 ","$117,300 ",+5.2% +14 UNITS,,2001,2005,"1966 Greenspring Dr., #507 Timonium, MD 21093",15% off franchise fee,97,440,worldwide,Training Onsite: 5 days
441,Glass Doctor,Auto/residential/commercial glass repair and replacement,#441 Franchise 500,"$111,800 ","$281,000 ",,,1962,1977,"1020 N. University Parks Dr. Waco, TX 76707",15% off franchise fee,163,459,,Training Onsite: ongoing
442,Phenix Salon Suites Franchising LLC,Salon suites,#442 Franchise 500,"$296,770 ","$952,675 ",+45.8% +70 UNITS,+71.9% +110 UNITS,2007,2010,"7660 Goddard St., #130 Colorado Springs, CO 80920",20% off franchise fee,,,,Training Onsite: 2 days
443,Assist-2-Sell,Discount real estate,#443 Franchise 500,"$24,025 ","$45,500 ",,,1987,1993,"1610 Meadow Wood Ln. Reno, NV 89502",,48,468,,Training at headquarters: 4 days
444,AlphaGraphics,"Digital publishing, internet services, printing, marketing, and communications",#444 Franchise 500,"$260,800 ","$394,400 ",,,1970,1980,"215 S. State St., #320 Salt Lake City, UT 84111","$5,000 off franchise fee",129,444,worldwide,Training Onsite: 5 days
445,Any Lab Test Now,"Health, drug, alcohol, and DNA testing",#445 Franchise 500,"$103,100 ","$162,600 ",,,1992,2007,"5815 Windward Pkwy., #205 Alpharetta, GA 30005",10% off franchise fee,,,throughout the US,Training Onsite: 3 days
446,The Entrepreneur's Source,Franchise/business coaching and development services,#446 Franchise 500,"$66,680 ","$75,110 ",+1.2% +2 UNITS,,1984,1997,"900 Main St. S., Bldg. 2 Southbury, CT 06488",15% off franchise fee,130,486,throughout the U.S.,Training at headquarters: 5 days
447,ProSource Wholesale,"Wholesale kitchen, bath, and flooring products",#447 Franchise 500,"$565,301 ","$592,566 ",+1.4% +2 UNITS,+2.9% +4 UNITS,1990,1991,"4301 Earth City Expressway Earth City, MO 63405","$26,450 off franchise fee",,,,Training Onsite: 7 days
448,ARCpoint Labs,"Drug, alcohol, medical, and wellness testing, HR services",#448 Franchise 500,"$161,800 ","$237,950 ",+11.9% +10 UNITS,+31.0% +26 UNITS,1998,2005,"220 N. Main St., #325 Greenville, SC 29601","$5,000 off training fee",,,throughout the US,Training Onsite: 5 days
449,Crown Trophy Inc.,Award and recognition items,#449 Franchise 500,"$168,150 ","$227,700 ",,,1978,1987,"9 Skyline Dr. Hawthorne, NY 10532",5% off franchise fee,194,450,throughout the US,Training Onsite: 5 days
450,Sir Speedy Print Signs Marketing,"Printing, signs, marketing services",#450 Franchise 500,"$227,981 ","$277,981 ",,,1968,1968,"26722 Plaza Mission Viejo, CA 92691","$3,750 off franchise fee",161,450,worldwide,Training Onsite: 1 day
451,TapSnap,Digital photo booths,#451 Franchise 500,"$48,409 ","$123,474 ",+20.0% +30 UNITS,+75.3% +113 UNITS,2012,2012,"102-930 W. 1st St. North Vancouver, BC V7P 3N4",10% off franchise fee,,,worldwide,Training at headquarters: 4 days
452,BlueGrace Logistics,Transportation management,#452 Franchise 500,"$39,500 ","$181,250 ",,+21.1% +12 UNITS,2007,2011,"2846 S. Faulkenburg Rd. Riverview, FL 33578",15% off franchise fee,,,throughout the US,Training at headquarters: 5 days
453,Yesco,Sign and lighting service and maintenance,#453 Franchise 500,"$65,000 ","$352,200 ",+7.7% +7 UNITS,+16.5% +15 UNITS,1920,2011,"2401 Foothill Dr. Salt Lake City, UT 84109",10% off franchise fee,,,internationally,Training Onsite: 3-5 days
454,Big O Tires LLC,"Tires, tire services, auto products",#454 Franchise 500,"$259,200 ","$1,181,628 ",,,1962,1982,"4280 Professional Center Dr., #400 Palm Beach Gardens, FL 33410",Franchise fee waived,107,454,in the following regions/states;See List,Training Onsite: 14 days
455,Pro Martial Arts Franchise Corp.,"Martial-arts instruction, fitness",#455 Franchise 500,"$142,750 ","$199,550 ",,+27.5% +14 UNITS,2000,2008,"640 Freedom Business Center Dr., 3rd Fl. King of Prussia, PA 19406","$1,000 off franchise fee",,,,Training Onsite: 2 days
456,Mad Science Group Inc.,Science education and entertainment programs,#456 Franchise 500,"$70,300 ","$104,959 ",,,1985,1995,"8360 Bougainville St., #201 Montreal, QC H4P 2G1",,,,,Training Onsite: 5-10 days
457,The Melting Pot Restaurants Inc.,Fondue restaurants,#457 Franchise 500,"$996,027 ","$1,535,897 ",,,1975,1984,"7886 Woodland Center Blvd. Tampa, FL 33614",20% off franchise fee,199,478,throughout the U.S.,Training at headquarters: 50 days
458,1-800-Got-Junk?,Junk removal,#458 Franchise 500,"$209,800 ","$241,800 ",+0.6% +1 UNITS,,1989,1998,"301-887 Great Northern Wy. Vancouver, BC V5T 4T5",,97,467,,Training Onsite: 1 day
459,Abrakadoodle,Art Education Program for Children,#459 Franchise 500,"$38,028 ","$81,878 ",1.2% + 6 UNITS,60.9% + 89 UNITS,2002,2010,"46030 Manekin Plaza Sterling, VA 20166",,389,487,worldwide,Training at headquarters: 5 days
460,Valpak Direct Marketing Systems Inc.,Direct-mail and digital advertising,#460 Franchise 500,"$82,200 ","$200,800 ",,,1968,1988,"805 Excutive Center Dr. W. St. Petersburg, FL 33702","Franchise & training fees waived, territory fee waived for dormant territories",179,460,worldwide,Training Onsite: 30 days
461,CPR-Cell Phone Repair,Electronics repairs and sales,#461 Franchise 500,"$24,630 ","$173,500 ",+21.1% +46 UNITS,+34.9% +76 UNITS,2004,2007,"7100 E. Pleasant Valley Rd., #300 Independence, OH 44131",10% off franchise fees,175,461,worldwide,Training Onsite: 5 days
462,Hooters Restaurant,Casual restaurants,#462 Franchise 500,"$906,500 ","$3,150,000 ",,+0.7% +3 UNITS,1983,1986,"1815 The Exchange Atlanta, GA 30339",,,,worldwide,Training Onsite: 10 days
463,Pump It Up,Children's entertainment centers,#463 Franchise 500,"$366,250 ","$790,000 ",,,2000,2001,"1860 W. University Dr., #108 Tempe, AZ 85281",25% off franchise fee,195,463,,Training Onsite: 5 days
464,Critter Control Inc.,"Wildlife management, pest control",#464 Franchise 500,"$23,725 ","$94,575 ",,,1983,1987,"9435 E. Cherry Bend Rd. Traverse City, MI 49684","$5,000 off franchise fee & 100% financing",271,497,,Training at headquarters: 5 days
465,Comet Cleaners,Dry cleaning and laundry services,#465 Franchise 500,"$93,000 ","$864,250 ",,,1947,1967,"406 W. Division St. Arlington, TX 76011",,346,486,internationally,Training Onsite: 14 days
466,Golden Krust Franchising Inc.,Caribbean-style food,#466 Franchise 500,"$173,400 ","$564,000 ",+1.8% +2 UNITS,+6.1% +7 UNITS,1989,1996,"3958 Park Ave. Bronx, NY 10457","$10,000 off franchise fee",229,492,in the following regions/states;in the following regions/states;See List,Training Onsite: 1 week
467,Office Pride Commercial Cleaning Services,Commercial cleaning,#467 Franchise 500,"$51,400 ","$100,100 ",+4.9% +6 UNITS,+11.4% +14 UNITS,1992,1996,"3450 East Lake Rd. Palm Harbor, FL 34685",10% off franchise fee,266,467,throughout the US,Training Onsite: 5+ days
468,Tuffy Associates Corp.,Auto repair,#468 Franchise 500,"$229,000 ","$418,500 ",,,1970,1971,"7150 Granite Cir. Toledo, OH 43617",,126,468,in the following regions/states;See List,Training Onsite: 2 weeks
469,Tiger-Rock Martial Arts,Martial-arts and fitness programs,#469 Franchise 500,"$89,900 ","$197,600 ",+1.9% +3 UNITS,+1.9% +3 UNITS,1983,2008,"330 Oak Tree Ln., #A Dakota Dunes, SD 57049",,,,throughout the US,Training Onsite: varies
470,Wingate by Wyndham,Hotels,#470 Franchise 500,"$297,141 ","$10,310,238 ",,,1995,1995,"22 Sylvan Wy. Parsippany, NJ 07054",,184,470,,Training Onsite: 3-4 days
471,Maui Wowi Hawaiian Coffees & Smoothies,Hawaiian coffee and smoothies,#471 Franchise 500,"$75,400 ","$559,500 ",,,1982,1997,"9311 E. Via de Ventura Scottsdale, AZ 85258",10% off franchise fee (20% off in November & December),142,471,in the following regions/states;See List,Training Onsite: 1-2 days+
472,Qualicare,"Medical/nonmedical home care, patient advocacy",#472 Franchise 500,"$71,700 ","$201,200 ",+12.1% +7 UNITS,+44.8% +26 UNITS,2001,2011,"404-3910 Bathurst St. Toronto, ON M3H 5Z3",Additional territory,,,,Training Onsite: online
473,Mr. Electric,Electrical services,#473 Franchise 500,"$83,400 ","$184,750 ",,,1994,1994,"1020 N. University Parks Dr. Waco, TX 76707",15% off franchisee fee,186,473,,Training Onsite: ongoing
474,Enviro-Master Int'l. Franchise LLC,Restroom hygiene products and services,#474 Franchise 500,"$166,300 ","$292,700 ",+11.4% +4 UNITS,+42.9% +15 UNITS,2009,2011,"417 Minuet Ln., #G Charlotte, NC 28217",25% off franchise fee,,,worldwide,Training Onsite: 5 days
475,Good Feet Worldwide LLC,"Arch supports, related products",#475 Franchise 500,"$114,970 ","$173,275 ",+8.0% +9 UNITS,+8.8% +10 UNITS,1995,2003,"5923 Farnsworth Ct. Carlsbad, CA 92008",25% off franchise fee & initial inventory,403,488,worldwide,Training at headquarters: 5 days
476,Biggby Coffee,"Specialty coffee, tea, smoothies, baked goods",#476 Franchise 500,"$161,350 ","$319,100 ",+11.6% +22 UNITS,+20.5% +39 UNITS,1994,1999,"2501 Coolidge Rd., #302 East Lansing, MI 48823",,201,494,in the following regions/states;See List,Training Onsite: 10 days
477,The Learning Experience Academy of Early Education,Preschool/educational childcare,#477 Franchise 500,"$495,299 ","$3,585,549 ",+9.1% +13 UNITS,+8.4% +12 UNITS,1979,2003,"4855 N. Technology Wy., 7th Fl. Boca Raton, FL 33431",10% off franchise fee,193,477,throughout the U.S.,Training Onsite: 10 days
478,Radisson,Hotels,#478 Franchise 500,"$3,181,100 ","$9,873,100 ",,,1962,1983,"701 Carlson Pkwy., MS8254 Minnetonka, MN 55305",,188,478,worldwide,Training Onsite: varies
479,Ledo Pizza,"Pizza, subs, pasta",#479 Franchise 500,"$126,250 ","$442,000 ",+3.0% +3 UNITS,+1.0% +1 UNITS,1986,1989,"2001 Tidewater Colony Dr., #203 Annapolis, MD 21401",,232,498,worldwide,Training Onsite: ongoing
480,Pizza Factory Inc.,"Pizza, pasta, sandwiches",#480 Franchise 500,"$151,000 ","$638,500 ",,+3.7% +4 UNITS,1979,1985,"49430 Rd. 426, #D Oakhurst, CA 93644",25% off franchise fee,226,495,in the following regions/states;See List,Training Onsite: 2-3 weeks
481,Fresh Healthy Vending,Snack and beverage vending machines,#481 Franchise 500,"$122,450 ","$205,800 ",+21.7% +61 UNITS,+69.4% +195 UNITS,2010,2010,"2620 Financial Ct., #100 San Diego, CA 92117",50% off franchise fee,,,,Training at headquarters: 3 days
482,The Screenmobile,Mobile window and door screening,#482 Franchise 500,"$83,600 ","$119,200 ",+3.3% +3 UNITS,+4.4% +4 UNITS,1982,1984,"72050-A Corporate Wy. Thousand Palms, CA 92276","$2,500 off franchise fee",222,496,in the following regions/states;See List,Training Onsite: as needed
483,Del Taco LLC,Mexican/American food,#483 Franchise 500,"$960,700 ","$1,866,500 ",,,1964,1967,"25521 Commercentre Dr., #200 Lake Forest, CA 92630","50% off franchise fee, reduced royalty fee for two years",,,in the following regions/states;See List,Training Onsite: 17 days
484,Sylvan Learning LLC,Supplemental and enrichment education,#484 Franchise 500,"$70,980 ","$159,890 ",,,1979,1980,"4 N. Park Dr., #500 Hunt Valley, MD 21030",10% off franchise fee,39,484,worldwide,Training Onsite: as needed
485,ABC Inc.,"Seamless siding, gutters, windows, roofing",#485 Franchise 500,"$81,000 ","$268,500 ",,,1973,1978,"3001 Fiechtner Dr. Fargo, ND 58103",Up to 50% off franchise fee,330,485,throughout the US,Training at headquarters: 10 days
486,Rent-A-Wreck,Used auto rentals and leasing,#486 Franchise 500,"$159,105 ","$459,607 ",,,1970,1977,"13900 Laurel Lakes Ave., #100 Laurel, MD 20707","$2,000 off franchise fee",,,worldwide,Training Onsite: 3 days
487,Genius Kids,"Preschool, daycare, public-speaking enrichment programs",#487 Franchise 500,"$224,900 ","$574,500 ",+16.7% +4 UNITS,+58.3% +14 UNITS,2001,2011,"3645 Mowry Ave. Fremont, CA 94538",,,,worldwide,Training at headquarters: 10 days
488,Surf City Squeeze,"Smoothies, fruit drinks, nutritional supplements",#488 Franchise 500,"$64,600 ","$311,750 ",,,1988,1994,"9311 E. Via De Ventura Scottsdale, AZ 85258",20% off franchise fee,162,488,worldwide,Training Onsite: 4 days
489,PrimoHoagies Franchising Inc.,Italian subs,#489 Franchise 500,"$196,200 ","$338,500 ",+2.2% +2 UNITS,+2.2% +2 UNITS,2002,2002,"610 Ryan Ave. Westville, NJ 08093",10% off franchise fee,,,in the following regions/states;See List,Training Onsite: 10 days
490,Liquid Capital Corp.,Commercial financing,#490 Franchise 500,"$214,300 ","$254,000 ",+7.0% +6 UNITS,+14.0% +12 UNITS,1999,1999,"5525 N. McArthur Blvd Irving, TX 75039",10% off franchise fee,,,worldwide,Training Onsite: 3 days
491,Handyman Matters Franchise Inc.,"Residential and commercial repair, restoration, and maintenance",#491 Franchise 500,"$66,357 ","$116,452 ",+11.8% +15 UNITS,+7.9% +10 UNITS,1998,2001,"12567 W. Cedar Dr., #150 Lakewood, CO 80228","$2,500 off franchise fee",205,491,throughout the US,Training Onsite: 2-5 days
492,Bruster's Real Ice Cream,"Ice cream, frozen yogurt, ices, sherbets",#492 Franchise 500,"$264,000 ","$1,324,000 ",+2.2% +4 UNITS,,1989,1993,"730 Mulberry St. Bridgewater, PA 15009",50% off franchise fee,124,492,,Training Onsite: 7 days
493,Nathan's Famous Inc.,"Hot dogs, hamburgers, seafood, chicken, cheesesteaks",#493 Franchise 500,"$276,360 ","$1,071,360 ",,,1916,1988,"1 Jericho Plaza, #203 Jericho, NY 11753",,128,493,in the following regions/states;See List,Training Onsite: 5-10 days
494,Red Mango - Yogurt Cafe & Juice Bar,"Frozen yogurt, smoothies, juices, wraps",#494 Franchise 500,"$297,584 ","$415,626 ",+19.9% +57 UNITS,+36.7% +105 UNITS,2006,2007,"2811 McKinney Ave., #354 Dallas, TX 75204",50% off franchise fee,403,494,internationally,Training Onsite: 7 days
495,Mr. Transmission/Milex Complete Auto Care,Transmission repair/auto repair,#495 Franchise 500,"$204,006 ","$288,409 ",,,1956,1976,"4444 W. 147th St. Midlothian, IL 60445","$5,000 off franchise fee",281,495,,Training Onsite: 5 days
496,Robeks Fresh Juices & Smoothies,"Smoothies, juices, healthful snacks",#496 Franchise 500,"$243,000 ","$336,800 ",,,1996,2001,"5220 Pacific Concourse Dr., #395 Los Angeles, CA 90045",50% off franchise fee,172,496,,Training Onsite: 5 days
497,Salons by JC,Salon suites,#497 Franchise 500,"$464,600 ","$913,600 ",+70.4% +38 UNITS,+74.1% +40 UNITS,1997,2011,"121 Interpark, #406 San Antonio, TX 78216",,,,throughout the US,Training at headquarters: 3 days
498,FranNet,Franchise consulting,#498 Franchise 500,"$44,265 ","$81,415 ",+4.3% +3 UNITS,+15.9% +11 UNITS,1987,2006,"10302 Brookridge Village Blvd. Louisville, KY 40291",25% off franchise fee,,,worldwide,Training Onsite: 5 days
499,uBreakiFix,Electronics repairs,#499 Franchise 500,"$84,600 ","$197,950 ",+38.9% +49 UNITS,+57.1% +72 UNITS,2009,2013,"200 S. Orange Ave., #200 Orlando, FL 32801",20% off franchise fee,,,,Training Onsite: 21 days
500,ACFN-The ATM Franchise Business,Automated teller machines,#500 Franchise 500,"$39,385 ","$64,770 ",+4.3% +10 UNITS,+8.2% +19 UNITS,1996,2003,"255 W. Julian St., #600 San Jose, CA 95110","$1,000 off franchise fee",371,500,,Training at headquarters: 3 days
